timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1731566412158,35, HTTP POST Request Demo-1,200,OK,Ex8HTMLReport 1-4,text,true,,2160,179,1,1,https://reqres.in/api/users,35,0,0
1731566412194,65, HTTP POST Request Demo,200,OK,Ex8HTMLReport 1-4,text,true,,3129,420,1,1,https://reqres.in/api/users,29,0,0
1731566412194,29, HTTP POST Request Demo-0,301,Moved Permanently,Ex8HTMLReport 1-4,text,true,,968,241,1,1,http://reqres.in/api/users,29,0,0
1731566412223,36, HTTP POST Request Demo-1,200,OK,Ex8HTMLReport 1-4,text,true,,2161,179,1,1,https://reqres.in/api/users,36,0,0
1731566412260,65, HTTP POST Request Demo,200,OK,Ex8HTMLReport 1-4,text,true,,3132,420,1,1,https://reqres.in/api/users,33,0,0
1731566412260,33, HTTP POST Request Demo-0,301,Moved Permanently,Ex8HTMLReport 1-4,text,true,,971,241,1,1,http://reqres.in/api/users,33,0,0
1731566412293,32, HTTP POST Request Demo-1,200,OK,Ex8HTMLReport 1-4,text,true,,2161,179,1,1,https://reqres.in/api/users,32,0,0
1731566413892,162, HTTP POST Request Demo,200,OK,Ex8HTMLReport 1-5,text,true,,3117,420,1,1,https://reqres.in/api/users,58,0,30
1731566413892,58, HTTP POST Request Demo-0,301,Moved Permanently,Ex8HTMLReport 1-5,text,true,,961,241,1,1,http://reqres.in/api/users,58,0,30
1731566413950,104, HTTP POST Request Demo-1,200,OK,Ex8HTMLReport 1-5,text,true,,2156,179,1,1,https://reqres.in/api/users,103,0,62
1731566414054,82, HTTP POST Request Demo,200,OK,Ex8HTMLReport 1-5,text,true,,3134,420,1,1,https://reqres.in/api/users,47,0,0
1731566414054,47, HTTP POST Request Demo-0,301,Moved Permanently,Ex8HTMLReport 1-5,text,true,,977,241,1,1,http://reqres.in/api/users,47,0,0
1731566414101,35, HTTP POST Request Demo-1,200,OK,Ex8HTMLReport 1-5,text,true,,2157,179,1,1,https://reqres.in/api/users,35,0,0
1731566414138,86, HTTP POST Request Demo,200,OK,Ex8HTMLReport 1-5,text,true,,3132,420,1,1,https://reqres.in/api/users,39,0,0
1731566414138,39, HTTP POST Request Demo-0,301,Moved Permanently,Ex8HTMLReport 1-5,text,true,,972,241,1,1,http://reqres.in/api/users,39,0,0
1731566414178,46, HTTP POST Request Demo-1,200,OK,Ex8HTMLReport 1-5,text,true,,2160,179,1,1,https://reqres.in/api/users,46,0,0
1731566414226,71, HTTP POST Request Demo,200,OK,Ex8HTMLReport 1-5,text,true,,3131,420,1,1,https://reqres.in/api/users,35,0,0
1731566414226,35, HTTP POST Request Demo-0,301,Moved Permanently,Ex8HTMLReport 1-5,text,true,,970,241,1,1,http://reqres.in/api/users,35,0,0
1731566414261,36, HTTP POST Request Demo-1,200,OK,Ex8HTMLReport 1-5,text,true,,2161,179,1,1,https://reqres.in/api/users,36,0,0
1731566414298,77, HTTP POST Request Demo,200,OK,Ex8HTMLReport 1-5,text,true,,3134,420,1,1,https://reqres.in/api/users,37,0,0
1731566414298,37, HTTP POST Request Demo-0,301,Moved Permanently,Ex8HTMLReport 1-5,text,true,,973,241,1,1,http://reqres.in/api/users,37,0,0
1731566414335,40, HTTP POST Request Demo-1,200,OK,Ex8HTMLReport 1-5,text,true,,2161,179,1,1,https://reqres.in/api/users,40,0,0
